,"761,-21.0"
0,"1639,-21.0"
1,"2714,-19.0"
2,"3504,-21.0"
3,"4480,-19.0"
4,"5254,-21.0"
5,"6256,-21.0"
6,"7327,-19.0"
7,"8410,-19.0"
8,"9571,-19.0"
9,"10537,-20.0"
10,"11753,-19.0"
11,"12834,-20.0"
12,"13769,-19.0"
13,"15082,-17.0"
14,"16022,-21.0"
15,"17273,-16.0"
16,"18643,-18.0"
17,"20148,-15.0"
18,"21285,-19.0"
19,"22593,-18.0"
20,"24192,-15.0"
21,"24991,-21.0"
22,"26489,-16.0"
23,"27985,-17.0"
24,"29600,-15.0"
25,"30513,-21.0"
26,"32041,-15.0"
27,"33372,-18.0"
28,"34618,-18.0"
29,"36320,-15.0"
30,"37662,-15.0"
31,"39287,-15.0"
32,"40651,-17.0"
33,"42226,-17.0"
34,"44151,-14.0"
35,"45736,-18.0"
36,"47147,-21.0"
37,"49066,-12.0"
38,"50443,-18.0"
39,"51703,-20.0"
40,"53356,-15.0"
41,"54729,-17.0"
42,"56299,-14.0"
43,"57391,-18.0"
44,"58869,-17.0"
45,"60468,-16.0"
46,"62249,-13.0"
47,"64337,-13.0"
48,"65998,-14.0"
49,"67992,-11.0"
50,"69659,-14.0"
51,"71375,-16.0"
52,"73504,-10.0"
53,"75106,-16.0"
54,"76453,-19.0"
55,"78193,-15.0"
56,"80228,-10.0"
57,"82095,-11.0"
58,"83615,-16.0"
59,"85748,-10.0"
60,"87711,-11.0"
61,"89458,-12.0"
62,"91539,-11.0"
63,"93496,-12.0"
64,"95383,-15.0"
65,"97709,-13.0"
66,"99438,-12.0"
67,"101091,-15.0"
68,"102819,-15.0"
69,"104900,-10.0"
70,"107133,-8.0"
71,"108818,-15.0"
72,"111076,-10.0"
73,"113408,-9.0"
74,"115080,-17.0"
75,"117464,-7.0"
76,"119627,-9.0"
77,"121805,-14.0"
78,"123882,-10.0"
79,"125705,-12.0"
80,"127747,-13.0"
81,"129701,-14.0"
82,"132827,-1.0"
83,"134935,-11.0"
84,"137588,-9.0"
85,"139483,-13.0"
86,"141677,-11.0"
87,"143837,-12.0"
